1, 4, 5, 39, 9, 43, 15, 19, 21, 61
33, 67, 4, 5, 9, 11, 19, 20, 25, 15
65, 3, 4, 5, 9, 19, 20, 25, 27, 61
1, 4, 5, 6, 9, 16, 18, 19, 21, 61
31, 4, 5, 8, 9, 44, 49, 19, 25, 61
1, 4, 6, 39, 9, 16, 21, 27, 61, 59
3, 4, 6, 19, 9, 15, 25, 27, 61, 59
1, 4, 6, 9, 15, 19, 21, 27, 61, 5
2, 4, 5, 41, 9, 16, 19, 21, 60, 61
1, 36, 5, 53, 49, 19, 4, 25, 27, 31
1, 4, 5, 39, 9, 15, 19, 21, 27, 61
4, 5, 39, 9, 15, 18, 36, 47, 27, 61
1, 67, 4, 9, 19, 20, 25, 30, 64, 21
3, 4, 39, 9, 21, 24, 25, 64, 32, 18
26, 67, 4, 5, 9, 15, 19, 61, 64, 39
1, 4, 8, 9, 46, 41, 19, 21, 32, 6
50, 67, 4, 5, 9, 43, 20, 25, 30, 64
1, 4, 5, 8, 9, 49, 19, 25, 61, 20
1, 48, 4, 39, 9, 15, 19, 21, 30, 64
1, 34, 4, 5, 9, 19, 21, 58, 61, 25
1, 4, 5, 9, 20, 53, 54, 19, 25, 61
1, 65, 4, 5, 9, 19, 23, 27, 61, 32
4, 9, 11, 16, 19, 52, 21, 25, 27, 32
66, 4, 5, 9, 19, 20, 27, 61, 32, 1
4, 5, 9, 16, 19, 20, 32, 23, 58, 54
4, 5, 8, 62, 19, 20, 23, 25, 61, 32
1, 34, 4, 5, 9, 16, 19, 20, 61, 32
1, 4, 5, 9, 19, 20, 23, 25, 59, 63
34, 4, 5, 9, 19, 20, 53, 32, 66, 7
1, 65, 4, 5, 9, 16, 62, 61, 32, 67
4, 5, 9, 19, 20, 54, 23, 32, 16, 58
4, 5, 9, 19, 20, 23, 25, 61, 32, 34
65, 4, 5, 10, 19, 23, 27, 61, 31, 32
65, 4, 5, 9, 20, 55, 25, 27, 61, 32
4, 6, 41, 19, 20, 28, 31, 32, 16, 25
1, 4, 5, 23, 16, 19, 20, 22, 55, 32
4, 5, 9, 11, 21, 23, 56, 49, 27, 32
1, 65, 4, 5, 9, 19, 23, 25, 61, 32
34, 4, 5, 51, 15, 16, 19, 20, 61, 32
69, 4, 23, 8, 9, 19, 20, 13, 55, 32
4, 5, 7, 9, 19, 20, 21, 25, 27, 64
3, 4, 5, 40, 7, 19, 20, 25, 37, 28
2, 4, 9, 19, 20, 54, 58, 59, 27, 43
33, 2, 4, 5, 9, 42, 49, 20, 57, 59
33, 3, 4, 69, 19, 20, 25, 5, 30, 49
3, 4, 5, 38, 9, 19, 20, 25, 37, 27
20, 3, 5, 38, 6, 19, 52, 58, 27, 49
3, 4, 5, 38, 9, 20, 21, 25, 27, 28
3, 4, 5, 9, 45, 35, 50, 19, 52, 64
52, 3, 4, 5, 9, 46, 20, 25, 64, 27
3, 4, 5, 38, 9, 43, 17, 58, 27, 62
20, 2, 3, 4, 9, 19, 52, 25, 56, 58
20, 2, 3, 4, 33, 67, 19, 52, 25, 58
3, 4, 5, 38, 7, 19, 20, 25, 27, 39
2, 3, 4, 5, 66, 41, 49, 9, 19, 58
52, 3, 4, 5, 9, 19, 20, 25, 27, 63
20, 3, 4, 5, 16, 19, 52, 23, 27, 58
33, 20, 3, 36, 64, 18, 19, 4, 25, 58
4, 5, 9, 49, 50, 36, 58, 27, 39, 63
2, 4, 5, 38, 15, 25, 19, 20, 57, 30
4, 5, 9, 48, 19, 20, 31, 25, 27, 63
3, 4, 5, 9, 20, 21, 27, 28, 67, 48
66, 3, 5, 9, 44, 23, 16, 26, 27, 42
4, 5, 9, 48, 20, 25, 27, 13, 63, 67
66, 3, 63, 9, 11, 44, 54, 25, 27, 19
1, 3, 5, 70, 9, 42, 18, 21, 56, 27
4, 5, 7, 9, 42, 18, 21, 56, 27, 63
4, 5, 9, 44, 13, 16, 23, 25, 63, 27
3, 41, 42, 14, 67, 48, 54, 27, 61, 30
3, 36, 6, 9, 48, 20, 53, 54, 28, 30
4, 5, 9, 66, 48, 53, 54, 25, 27, 63
3, 6, 39, 9, 42, 15, 53, 25, 58, 27
4, 5, 9, 44, 13, 19, 25, 26, 27, 63
4, 5, 9, 48, 19, 25, 58, 27, 63, 68
3, 4, 69, 11, 68, 56, 25, 27, 29, 5
4, 39, 9, 48, 19, 21, 25, 27, 63, 23
3, 4, 9, 44, 51, 36, 54, 25, 30, 27
3, 5, 70, 9, 48, 19, 27, 28, 30, 6
4, 5, 9, 16, 49, 25, 26, 27, 30, 63
